MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
,,,,13-02-25,Tiffin Bill,, Urbo,whole night shift," 3,460 "
,,,,13-02-25,Convence,,,Mostofa," 6,850 "
,,,,13-02-25,Carriage Bill,,,labour bill," 5,000 "
,,,,13-02-25,Carriage Bill,,,Covervan bill," 1,500 "
,,,,13-02-25,Convence,,,mostofa," 1,500 "
,,,,13-02-25,Carriage Bill,,,Labour bill, 500 
14-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 450,000 ",14-02-25,Loan Debit ,, Urbo,Chairman," 450,000 "
14-02-2025,Loan A/C Chairman,, 700 ,14-02-25,Office Maintance,,,A4 paper 2 bundle, 700 
16-02-2025,Loan A/C Chairman,," 252,000 ",16-02-25,Carriage Bill,Babul Enterprise,,Covervan bill againist machine purchase," 2,000 "
16-02-2025,Loan A/C Chairman by Bashar,," 6,500 ",16-02-25,Machine- Purchase,Babul Enterprise,,Previous bill," 250,000 "
,,,,16-02-25,Office Maintance,Ryans Computer,,Printer ink Black, 700 
,,,,16-02-25,Office Maintance,Jamuna Printing Press,,Id Card & Visiting Card," 1,300 "
,,,,16-02-25,Factory Maintance,,,Toilet Block removing," 6,500 "
17-02-2025,Loan A/C Chairman,," 451,518 ",17-02-25,Convence,,,Tanush up down (Bablu)," 1,000 "
17-02-2025,Loan A/C Chairman by Bashar,, 540 ,17-02-25,Lunch bill,,,against tanush visit Bablu, 570 
,,,,17-02-25,Carriage Bill,,,Labour bill," 1,200 "
,,,,17-02-25,Accessories Bill,, Urbo,molecule sample Tap, 400 
,,,,17-02-25,Dinner bill,,,(12 feb) night shift," 1,230 "
,,,,17-02-25,Accessories Bill,,Urbo: slim fit,Thread, 280 
,,,,17-02-25,Fabric- Purchase,,Urbo: Camo Print,sample purpose," 3,600 "
,,,,17-02-25,Fabric- Purchase,,brooklyn: Solera,rib fabric," 1,410 "
,,,,17-02-25,Convence,,,konabari up down, 260 
,,,,17-02-25,Lunch bill,,,konabari up down, 100 
,,,,17-02-25,Factory Maintance,,,Toiletries, 540 
,,,,17-02-25,Machine spare parts,,,"needle, fat  lock, heavey "," 1,630 "
,,,,17-02-25,Convence,,,2 days sadorgat," 1,280 "
,,,,17-02-25,Carriage Bill,,,covervan for tanus," 3,000 "
,,,,17-02-25,Carriage Bill,,,Labour bill, 500 
,,,,17-02-25,Lunch bill,,,sadorgat 2 days, 240 
,,,,17-02-25,bkash charge,,,mostofa sadorgat, 378 
,,,,17-02-25,Accessories Bill,,Brooklyn: Joggers,Drawting & thread," 18,760 "
,,,,17-02-25,breakfast bill,,,sample section 12 feb, 260 
,,,,17-02-25,Accessories Bill,Arrah Trims & Packaging,Brooklyn,Carton Bill," 12,000 "
,,,,17-02-25,Convence,,,Omor visiting buying house," 1,000 "
,,,,17-02-25,Convence,,,Ashraful wearvibes up down, 420 
,,,,17-02-25,Fabric- Purchase,Ma Traders, Urbo,Previous bill," 400,000 "
18-02-2025,Loan A/C Chairman,," 181,670 ",18-02-25,Salary A/C,,,Management staff jan25," 130,000 "
,,,,18-02-25,Convence,,,MD & abir Sir buying house," 1,670 "
,,,,18-02-25,Accessories Bill,Sarowat Accessories, Urbo,previous BIll," 50,000 "
19-02-2025,Loan A/C Chairman,," 5,000 ",19-02-25,Advance Salary,,,Akram feb'25," 5,000 "
19-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 1,500,000 ",19-02-25,Loan Debit ,, Urbo,Chairman Sir," 1,500,000 "
19-02-2025,Loan A/C Chairman by Bashar,," 14,675 ",19-02-25,Cons labour wages,,,Tiles Koraki," 9,500 "
,,,,19-02-25,Factory Maintance,,,Gum tape," 5,175 "
20-02-2025,Loan A/C Chairman,," 2,123,848 ",20-02-25,Salary A/C,,,all staff & worker jan''25," 1,100,510 "
20-02-2025,Loan A/C Chairman by Bashar,," 15,000 ",20-02-25,Cons labour wages,,,rihan kat mistiri," 15,000 "
,,,,20-02-25,Tiffin Bill,,,48x30," 1,440 "
20-02-2025,Received: Kafit Gallary,Sample Making," 1,500 ",20-02-25,Night Bill,,,70x10, 700 
,,,,20-02-25,Factory Papers,,,Hamid," 5,000 "
,,,,20-02-25,Wash bill,Denim Expert Washing, Urbo,Previous bill," 82,000 "
,,,,20-02-25,Machine- Purchase,Bhai Bhai Eyelet,,Previous bill," 90,000 "
,,,,20-02-25,Entertainment Bill,,Brooklyn,Buyer," 1,000 "
,,,,20-02-25,Convence,,,Faruk," 1,000 "
,,,,20-02-25,Electric Bill,,,nagad: 730GT2RV," 14,900 "
,,,,20-02-25,Fabric- Purchase,,Urbo: plaket Tshirt,Narayanganj," 2,033 "
,,,,20-02-25,Convence,,,Narayanganj, 820 
,,,,20-02-25,Accessories Bill,,Brooklyn: Joggers,Twill Tape, 400 
,,,,20-02-25,Accessories Bill,,Urbo: Molecule,Thread," 18,785 "
,,,,20-02-25,Convence,,,"mirpur, sadorgat"," 2,530 "
,,,,20-02-25,Lunch bill,,,"mirpur, sadorgat", 200 
,,,,20-02-25,Dying bill,,,Twill Tape," 1,150 "
,,,,20-02-25,Machine spare parts,,,"Bobbin, needle"," 2,780 "
,,,,20-02-25,Accessories Bill,Sarowat Accessories, Urbo,Previous bill," 100,000 "
,,,,20-02-25,Factory Maintance,,,Cutter, 100 
,,,,20-02-25,Fabric- Purchase,Ma Traders, Urbo,Previous bill," 700,000 "
22-02-2025,Loan A/C Chairman,," 4,515 ",22-02-25,Fabric- Purchase,Konabari,Draupadi,sample fabric," 4,515 "
23-02-2025,Loan A/C Chairman,," 1,441,310 ",23-02-25,Tiffin Bill,,,50x30tk," 1,500 "
23-02-2025,Loan A/C Chairman by Bashar,," 2,565 ",23-02-25,Office Maintance,,,Toilieties item," 2,265 "
,,,,23-02-25,Carriage Bill,,,Van rent, 300 
,,,,23-02-25,Night bill,,,, 810 
,,,,23-02-25,Lunch bill,,Urbo: Short cargo,6 person, 600 
,,,,23-02-25,Convence,,,"buying house, print bablu"," 1,720 "
,,,,23-02-25,Convence,,Draupadi,konabari fabric ashraful, 430 
,,,,23-02-25,Convence,, Urbo,wash factory mirpur sajedul, 250 
,,,,23-02-25,Entertainment Bill,,Brooklyn,Inspection joggers," 2,700 "
,,,,23-02-25,Tiffin Bill,,,sample section 22 feb, 150 
,,,,23-02-25,Entertainment Bill,,Brooklyn,brooklyn Md visiting ashim knit," 1,750 "
,,,,23-02-25,Fabric- Purchase,Tahera Knit Fabric,ADL,TT order purpose," 1,400,000 "
,,,,23-02-25,Electric Bill,,,Nagad: 730RKO5C," 14,900 "
,,,,23-02-25,Carriage Bill,Babul Enterprise,,covervan machine purpose," 2,000 "
,,,,23-02-25,Carriage Bill,, Urbo,covervan denim wash," 1,500 "
,,,,23-02-25,Office Maintance,Best webhost bd.com,,domain & email hosting," 13,000 "
24-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 1,600,000 ",24-02-25,Loan Debit ,, Urbo,Chairman Sir," 1,600,000 "
24-02-2025,Loan A/C Chairman,," 103,155 ",24-02-25,Carriage Bill,Babul Enterprise,,covervan bill," 2,000 "
24-02-2025,Loan A/C Chairman by Bashar,, 200 ,24-02-25,Carriage Bill,,,Labour bill, 200 
,,,,24-02-25,Cons Materials,,,Rod Purchase, 835 
,,,,24-02-25,Fabric- Purchase,Ashim Knitwear,brooklyn: Solera,L/c order fabric," 100,000 "
,,,,24-02-25,Convence,, Urbo,ashraful urbo up-down convence, 320 
25-02-2025,Received: Urbo ltd,Shipment Invoice 1 ," 200,000 ",25-02-25,Loan Debit ,, Urbo,Chairman Sir," 200,000 "
25-02-2025,Loan A/C Chairman,," 1,317,286 ",25-02-25,Carriage Bill,Babul Enterprise,,Covervan for machine purchace," 2,000 "
,,,,25-02-25,Fabric- Purchase,Tahera Knit Fabric,ADL,Fabric purchase TT program," 1,000,000 "
,,,,25-02-25,Embroderiy Bill,Golden Embroderiy,brooklyn: Solera,Embroderiy Advance Aginist L\c," 5,000 "
,,,,25-02-25,Accessories Bill,Sarowat Accessories, Urbo,Previous bill," 200,000 "
,,,,25-02-25,Office Maintance,,,office files, 350 
,,,,25-02-25,Carriage Bill,Ashim Knitwear,brooklyn: Solera,covervan bill ," 2,400 "
,,,,25-02-25,Accessories Bill,, Urbo,Snap button long cargo, 800 
,,,,25-02-25,Accessories Bill,, Urbo,Thread (regular fit & molecule)," 26,140 "
,,,,25-02-25,Accessories Bill,, Urbo,"Fusing, Thread (Molecule)"," 18,080 "
,,,,25-02-25,Accessories Bill,, Urbo,Poly Lebel (Cotton green jeans), 280 
,,,,25-02-25,Accessories Bill,, Urbo,Zipper (Regular fit )," 46,200 "
,,,,25-02-25,Accessories Bill,, Urbo,Thread (Molecule & Regular fit)," 6,755 "
,,,,25-02-25,Accessories Bill,, Urbo,Snap button (Cotton Green Jean), 800 
,,,,25-02-25,Accessories Bill,, Urbo,Mole (Cotton Green Jeans), 560 
,,,,25-02-25,Factory Maintance,,,"Powder, Medicine, Thinner, markar"," 1,210 "
,,,,25-02-25,Accessories Bill,,brooklyn: Solera,Twill Tape, 200 
