MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
,,,,20-03-25,Machine spare parts,,,"bobbin, feet etc"," 4,170 "
,,,,20-03-25,Factory Maintance,,,"chok, pencil", 340 
,,,,20-03-25,Accessories Bill,,Wear Vibes,thread," 14,480 "
,,,,20-03-25,Accessories Bill,,Team Fashion,Joha: thread sample, 521 
,,,,20-03-25,Accessories Bill,, Urbo,molecule thread, 420 
,,,,20-03-25,Advance Salary,,,faruk feb 25," 33,000 "
,,,,20-03-25,Tiffin Bill,,,18 mar (127x30) 19 mar (60x30)," 5,610 "
,,,,20-03-25,Factory Papers,,,rex hamid," 16,000 "
,,,,20-03-25,Tiffin Bill,,,iftari bill staf and wear vibes MD, 500 
,,,,20-03-25,Subcontact worker bill,,,laily 9 person," 3,600 "
,,,,20-03-25,Carriage Bill,,,loader bill: fabric unload and machine tranfer, 500 
21-03-2025,Loan A/C Chairman,," 43,800 ",21-03-25,Subcontact worker bill,,,lailly 7person," 2,800 "
22-03-2025,Loan A/C Chairman,," 28,915 ",22-03-25,Carriage Bill,,,covervan for solea shipment," 2,000 "
,,,,22-03-25,Convence,,,"16-18 Mar ADL, Team sample", 580 
,,,,22-03-25,Convence,,,"19-21 Mar ADL, Ktex"," 1,420 "
,,,,22-03-25,Mobile Recharge,,,Milon 1000minute march, 630 
,,,,22-03-25,Cons labour wages,,,Raj mistir work for madrasa floor shiting," 41,000 "
,,,,22-03-25,Convence,,,19 mar revise sales contact, 350 
,,,,22-03-25,Convence,,,"QC aziz 20,21 mar up dpwn modina", 200 
,,,,22-03-25,Convence,,,mostofa mirpur up down, 210 
,,,,22-03-25,Factory Maintance,,,sticker and ink," 3,860 "
,,,,22-03-25,Machine spare parts,,,"high lighter pen, correction pen knife"," 2,600 "
,,,,22-03-25,Machine spare parts,,,"noodle, lifter, thinner"," 5,920 "
,,,,22-03-25,Accessories Bill,,Wear Vibes,thread tt order," 3,855 "
,,,,22-03-25,Factory Maintance,,,"coil, powder, glue", 155 
,,,,22-03-25,Carriage Bill,,,loader bill ADL fabric unloading, 600 
,,,,22-03-25,Tiffin Bill,,,Iftari worker & staff," 4,135 "
,,,,22-03-25,Subcontact worker bill,,,laily 6 person," 2,400 "
23-03-2025,Loan A/C Chairman,," 1,925,590 ",23-03-25,Office Maintance,Ryans Computer,,epson printer ink set 4 pcs," 2,740 "
,,,,23-03-25,Machine spare parts,,,"Bobbin, needle bar, lopen etc"," 6,720 "
,,,,23-03-25,Factory Maintance,,,"medicine, battery", 390 
,,,,23-03-25,Accessories Bill,, Urbo,Molecule: Magic thread, 510 
,,,,23-03-25,Accessories Bill,, Urbo,Molecule carton bill," 4,000 "
,,,,23-03-25,Convence,,,Adl up down bablu, 200 
,,,,23-03-25,Factory Maintance,,,kerson bablu, 140 
,,,,23-03-25,Factory Maintance,,,Spot remover," 1,850 "
,,,,23-03-25,Factory Maintance,,,boiler coil," 3,500 "
,,,,23-03-25,Convence,,,"modina Garment, tongi up down", 930 
,,,,23-03-25,Convence,,,gazipur chowrasta up down, 250 
,,,,23-03-25,Office Maintance,,,A4 paper 5 bundle," 1,725 "
,,,,23-03-25,Electric Bill,,,Bkash: CCN$SB3TVC," 12,000 "
,,,,23-03-25,Salary A/C,,,"worker, helper & staff feb 25"," 1,729,380 "
,,,,23-03-25,Salary A/C,,,magagement feb'25," 130,000 "
,,,,23-03-25,Factory Maintance,,,boiler coil repairing hanif, 500 
,,,,23-03-25,Accessories Bill,Unitrade Bdpack Ltd,ADL,"Carton Bill: Style Shaikko, Ice Tech advance"," 23,500 "
,,,,23-03-25,Tiffin Bill,,,"worker, staff and  Adl Qc"," 4,855 "
,,,,23-03-25,Subcontact worker bill,,,laily 6 person," 2,400 "
24-03-2025,Loan A/C Chairman,," 28,935 ",24-03-25,Advance Salary,,,Akram (patternman) Mar'25," 5,000 "
,,,,24-03-25,convence,,,"mostofa 23 march ,modina, mirpur, sadorgat"," 1,080 "
,,,,24-03-25,Carriage Bill,,,loader bill: fabric unload, 130 
,,,,24-03-25,Accessories Bill,,Wear Vibes,military joggers: Drawsting," 13,200 "
,,,,24-03-25,Accessories Bill,, Urbo,"long cargo: zipper, Thread", 490 
,,,,24-03-25,Subcontact worker bill,,,laily 8 person," 3,200 "
,,,,24-03-25,Tiffin Bill,,,all staff worker and 3 adl QC," 5,255 "
,,,,24-03-25,Night bill,,,cutting worker staff, 580 
25-03-2025,Loan A/C Chairman,," 79,425 ",25-03-25,Convence,,,"wash factory, ear vibes,, modina tongi up down", 770 
25-03-2025,Received: Urbo ltd,Advance & due payment of shipment 1," 800,000 ",25-03-25,Carriage Bill,,,loader bill, 300 
,,,,25-03-25,Tiffin Bill,,,staff worker (19/3/25), 720 
,,,,25-03-25,Electric Bill,,,Nagad," 15,000 "
,,,,25-03-25,Factory Maintance,,,"hand gloves, safty pin", 570 
,,,,25-03-25,Machine spare parts,,,"tape measurement, belt", 950 
,,,,25-03-25,Accessories Bill,,,Haji Accessories & packaging," 20,000 "
,,,,25-03-25,Loan Debit ,,,Chairman sir payment from urbo," 800,000 "
,,,,25-03-25,Accessories Bill,Unitrade Bdpack Ltd,,"Carton Bill: Style Shaikko, Ice Tech "," 23,500 "
,,,,25-03-25,Night bill,,,cutting worker staff, 580 
,,,,25-03-25,Subcontact worker bill,,,laily 12 person," 4,800 "
,,,,25-03-25,Tiffin Bill,,,"Iftari worker, staff & Qc Adl 142 person"," 5,465 "
,,,,25-03-25,Carriage Bill,,,loader bill: fabric roll & machine transfer, 500 
,,,,25-03-25,Machine spare parts,,,padel chain 12 pcs, 600 
,,,,25-03-25,Factory Maintance,,,"thinner,pen, plastic box", 790 
,,,,25-03-25,Carriage Bill,,,loader bill: machine transfer & fabric unload, 500 
,,,,25-03-25,Convence,,,QC aziz  up dpwn modina, 300 
,,,,25-03-25,Convence,,,almas wash factory up down, 80 
,,,,25-03-25,Electric Item,,,Boilar parts and motor," 4,000 "
27-03-2025,Loan A/C Chairman,," 3,004,900 ",27-03-25,Carriage Bill,,,modina to mm for bringing finish goods urbo," 5,100 "
27-03-2025,Received: Brooklyn BD,," 250,000 ",27-03-25,SubContract Bill,,,Modina garment urbo finished goods purpose," 777,000 "
,,,,27-03-25,Salary A/C,,,all staff & worker 20 days feb''25 full OT And lefty," 1,571,880 "
,,,,27-03-25,Night bill,,,Adl shipment purpose 14 person finishing, 750 
,,,,27-03-25,Office Maintance,,,printer cannon from zaman," 8,000 "
,,,,27-03-25,Tiffin Bill,,,worker & staff," 1,685 "
,,,,27-03-25,Print Bill,Alpha Multi Design & Co,ADL,Style Icetech print purpose," 50,000 "
,,,,27-03-25,Donation Inspection,,ADL,Shipment purpose," 10,000 "
,,,,27-03-25,Entertainment Bill,,,milon : ADL team Fashion 4 days," 1,600 "
,,,,27-03-25,Subcontact worker bill,,,Laily Balance payment," 18,630 "
,,,,27-03-25,Print Bill,SH Print & Sticker,Brooklyn,Solera order previous bill," 10,000 "
,,,,27-03-25,Fabric- Purchase,Tahera Knit Fabric,ADL,Bill purpose," 500,000 "
,,,,27-03-25,Subcontact worker bill,,,laily 18 person," 7,200 "
,,,,27-03-25,Tiffin Bill,,,worker (89*35) Staff (19*35) Buying QC (5*100)," 4,565 "
,,,,27-03-25,Night bill,,,"ADL Qc , sewing setion "," 7,120 "
,,,,27-03-25,Convence,,,Bablu: print factory Mirpur, 480 
,,,,27-03-25,Office Maintance,,,Ma hotel previous all bill," 17,440 "
,,,,27-03-25,Accessories Bill,,ADL,"filament, safety pin"," 1,380 "
,,,,27-03-25,Factory Maintance,,,Hard board, 160 
,,,,27-03-25,Machine spare parts,,,As per bill attachted," 9,090 "
,,,,27-03-25,Convence,,,Modina 3 days Tongi & mazar up down," 1,060 "
,,,,27-03-25,Entertainment Bill,,,Adl qc dinner," 1,160 "
,,,,27-03-25,Loan Debit ,,,Chairman sir payment from Brooklyn," 250,000 "
,,,,27-03-25,Lunch bill,,,Finishing section 7 person adl shipment, 600 
06-04-2025,Loan A/C Chairman,," 47,560 ",06-04-25,Convence,,,Modina & print factory, 380 
06-04-2025,Received: Urbo ltd,Advance," 400,000 ",06-04-25,Carriage Bill,,,loader bill modina, 250 
,,,,06-04-25,Entertainment Bill,,,Sani  QC urbo for modina inspection, 440 
,,,,06-04-25,Shipment Bill,,ADL,C&F purpose," 25,000 "
,,,,06-04-25,Carriage Bill,,ADL,shipment covervan," 14,000 "
,,,,06-04-25,Convence,,ADL,Shamim: Chitagong up down for shipment," 7,490 "
,,,,06-04-25,Loan Debit ,,,chairman sir againist urbo payment," 400,000 "
08-04-2025,Loan A/C Chairman,," 28,229 ",08-04-25,Factory Papers,,,hamid," 5,000 "
,,,,08-04-25,Convence,,,"Mostofa: tongi, Team buying house", 380 
,,,,08-04-25,Carriage Bill,,,labour bill &machine transfer, 270 
,,,,08-04-25,Machine spare parts,,,bill attaced mostofa," 4,710 "
,,,,08-04-25,Electric Bill,,,Nagad recharge A/c 41159598," 15,000 "
,,,,08-04-25,Office Maintance,Ryans Computer,,web cam," 2,350 "
,,,,08-04-25,Mobile Recharge,,,faruk 800min 30days, 519 
09-04-2025,Loan A/C Chairman,," 7,870 ",09-04-25,Machine spare parts,,,Rakib : fuse, 70 
,,,,09-04-25,Convence,,,buying house visit faruq," 2,000 "
,,,,09-04-25,Convence,,,print factory mirpur aziz, 300 
,,,,09-04-25,Factory Papers,,,hamid deed document," 5,500 "
10-04-2025,Loan A/C Chairman,," 72,455 ",10-04-25,Factory Maintance,,,ring for porda, 75 
,,,,10-04-25,Electric Item,,,led light, 250 
,,,,10-04-25,Tiffin Bill,,,sweing section," 1,500 "
,,,,10-04-25,convence,,,"print factory mirpur aziz, DOHS up down", 620 
,,,,10-04-25,Electric Item,,,channel ring socket, 950 
,,,,10-04-25,Office Maintance,,,white board markar 4pcs, 160 
,,,,10-04-25,Accessories Bill,, Urbo,Molecule: thread," 44,100 "
,,,,10-04-25,Office Maintance,,,"Register book, Calcultaor"," 1,480 "
,,,,10-04-25,Factory Maintance,,,seal Machine," 1,190 "
,,,,10-04-25,Convence,,,mirpur, 440 
,,,,10-04-25,Lunch bill,,,bablu, 100 
,,,,10-04-25,Carriage Bill,,,CNG Bill, 550 
,,,,10-04-25,Convence,,,modina Bablu, 400 
,,,,10-04-25,Convence,,,one bank mostofa bashundora, 140 
,,,,10-04-25,Advance Salary,,,operator id 5023 sadek march," 5,000 "
,,,,10-04-25,Electric Bill,,,bkash acc: 41159598," 15,000 "
,,,,10-04-25,Subcontact worker bill,,,kamal, 500 
12-04-2025,Loan A/C Chairman,," 1,890 ",12-04-25,Convence,,,shamim one bank bashundora, 390 
12-04-2025,Received: Adl,Ice tech Advance TT," 1,396,000 ",12-04-25,Machine spare parts,,,Shamim boiler bulbu, 300 
,,,,12-04-25,Convence,,,mahmud nobabpur n board bazar up down, 700 
,,,,12-04-25,Subcontact worker bill,,,kamal, 500 
,,,,12-04-25,Loan Debit ,,,payment received frm adl to chairman sir," 1,396,000 "
13-04-2025,Loan A/C Chairman,," 111,010 ",13-04-25,Accessories Bill,,ADL,Thread, 900 
,,,,13-04-25,Machine spare parts,,,Attached with bill," 9,300 "
,,,,13-04-25,Electric Item,,,light holder," 1,420 "
,,,,13-04-25,Advance Salary,,,Sharif ( PM) apr''25, 500 
,,,,13-04-25,Accessories Bill,,Wear Vibes,due bill of military cargo style," 39,000 "
,,,,13-04-25,Advance Salary,,,shima Id 5085, 500 
,,,,13-04-25,Advance Salary,,,salma id  5017, 500 
,,,,13-04-25,Tiffin Bill,,,5 person sample section, 200 
,,,,13-04-25,Office Maintance,,,table for commercial," 4,400 "
,,,,13-04-25,Lunch bill,,,all staff (11/04/25)," 2,000 "
,,,,13-04-25,Accessories Bill,,,needle attach with bill," 1,320 "
,,,,13-04-25,Print Bill,Alpha Multi Design & Co,ADL,ice tech style print purpose," 50,000 "
,,,,13-04-25,Entertainment Bill,,,tea, 40 
,,,,13-04-25,Lunch bill,,,2 person, 230 
,,,,13-04-25,Machine spare parts,,,boiler relay, 700 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,, -   ,,,,,,
,,," 28,440,753 ",Total,,,,," 28,440,753 "
